Country,Region,GNI,Sex,Indicator,2013,2014,2015,2016,2017,2018
Afghanistan,Middle East and North Africa,Low,male,Mean performance on the mathematics scale. Male,NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,female,Mean performance on the reading scale. Female,NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,both,Mean performance on the reading scale. Gender Difference,NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,male,Mean performance on the reading scale. Male,NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,female,Mean performance on the science scale. Female,NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,both,Mean performance on the science scale. Gender Difference,NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,male,Mean performance on the science scale. Male,NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,female,"Youth illiterate population, 15-24 years, % female",NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,male,"Youth illiterate population, 15-24 years, % male",NaN,NaN,NaN,NaN,NaN,NaN
Afghanistan,Middle East and North Africa,Low,female,"Youth illiterate population, 15-24 years, gender difference (%)",NaN,NaN,NaN,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,female,"Adult illiterate population, 15+ years, % female",NaN,NaN,NaN,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,both,"Adult literacy rate, population 15+ years, gender parity index (GPI)",NaN,NaN,NaN,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,both,Learning poverty: gender difference (%),NaN,NaN,NaN,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,female,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,NaN,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,male,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,NaN,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,female,"Literacy rate, adult female (% of females ages 15 and above)",NaN,NaN,NaN,NaN,NaN,97.76112
Albania,Post-communist,Upper-Middle,both,"Literacy rate, adult gender difference (%)",NaN,NaN,NaN,NaN,NaN,-0.7525
Albania,Post-communist,Upper-Middle,male,"Literacy rate, adult male (% of males ages 15 and above)",NaN,NaN,NaN,NaN,NaN,98.51362
Albania,Post-communist,Upper-Middle,both,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",NaN,NaN,NaN,NaN,NaN,1.00586
Albania,Post-communist,Upper-Middle,female,"Literacy rate, youth female (% of females ages 15-24)",NaN,NaN,NaN,NaN,NaN,99.63
Albania,Post-communist,Upper-Middle,both,"Literacy rate, youth gender difference (%)",NaN,NaN,NaN,NaN,NaN,0.58
Albania,Post-communist,Upper-Middle,male,"Literacy rate, youth male (% of males ages 15-24)",NaN,NaN,NaN,NaN,NaN,99.05
Albania,Post-communist,Upper-Middle,female,Mean performance on the mathematics scale. Female,NaN,NaN,417.7500295,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,both,Mean performance on the mathematics scale. Gender Difference,NaN,NaN,9.2045708,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,male,Mean performance on the mathematics scale. Male,NaN,NaN,408.5454587,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,female,Mean performance on the reading scale. Female,NaN,NaN,434.6396255,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,both,Mean performance on the reading scale. Gender Difference,NaN,NaN,58.8804263,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,male,Mean performance on the reading scale. Male,NaN,NaN,375.7591992,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,female,Mean performance on the science scale. Female,NaN,NaN,439.4429629,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,both,Mean performance on the science scale. Gender Difference,NaN,NaN,24.4853192,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,male,Mean performance on the science scale. Male,NaN,NaN,414.9576437,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,female,"Youth illiterate population, 15-24 years, % female",NaN,NaN,NaN,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,male,"Youth illiterate population, 15-24 years, % male",NaN,NaN,NaN,NaN,NaN,NaN
Albania,Post-communist,Upper-Middle,female,"Youth illiterate population, 15-24 years, gender difference (%)",NaN,NaN,NaN,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,female,"Adult illiterate population, 15+ years, % female",NaN,NaN,NaN,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,both,"Adult literacy rate, population 15+ years, gender parity index (GPI)",NaN,NaN,NaN,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,both,Learning poverty: gender difference (%),NaN,NaN,NaN,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,female,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,NaN,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,male,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,NaN,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,female,"Literacy rate, adult female (% of females ages 15 and above)",NaN,NaN,NaN,NaN,NaN,75.32297
Algeria,Middle East and North Africa,Upper-Middle,both,"Literacy rate, adult gender difference (%)",NaN,NaN,NaN,NaN,NaN,-12.09999
Algeria,Middle East and North Africa,Upper-Middle,male,"Literacy rate, adult male (% of males ages 15 and above)",NaN,NaN,NaN,NaN,NaN,87.42296
Algeria,Middle East and North Africa,Upper-Middle,both,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",NaN,NaN,NaN,NaN,NaN,0.9965
Algeria,Middle East and North Africa,Upper-Middle,female,"Literacy rate, youth female (% of females ages 15-24)",NaN,NaN,NaN,NaN,NaN,97.25216
Algeria,Middle East and North Africa,Upper-Middle,both,"Literacy rate, youth gender difference (%)",NaN,NaN,NaN,NaN,NaN,-0.3419
Algeria,Middle East and North Africa,Upper-Middle,male,"Literacy rate, youth male (% of males ages 15-24)",NaN,NaN,NaN,NaN,NaN,97.59406
Algeria,Middle East and North Africa,Upper-Middle,female,Mean performance on the mathematics scale. Female,NaN,NaN,363.0724791,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,both,Mean performance on the mathematics scale. Gender Difference,NaN,NaN,6.5773734,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,male,Mean performance on the mathematics scale. Male,NaN,NaN,356.4951057,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,female,Mean performance on the reading scale. Female,NaN,NaN,366.2081668,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,both,Mean performance on the reading scale. Gender Difference,NaN,NaN,31.0227309,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,male,Mean performance on the reading scale. Male,NaN,NaN,335.1854359,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,female,Mean performance on the science scale. Female,NaN,NaN,383.2209389,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,both,Mean performance on the science scale. Gender Difference,NaN,NaN,14.1857051,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,male,Mean performance on the science scale. Male,NaN,NaN,369.0352338,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,female,"Youth illiterate population, 15-24 years, % female",NaN,NaN,NaN,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,male,"Youth illiterate population, 15-24 years, % male",NaN,NaN,NaN,NaN,NaN,NaN
Algeria,Middle East and North Africa,Upper-Middle,female,"Youth illiterate population, 15-24 years, gender difference (%)",NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,female,"Adult illiterate population, 15+ years, % female",NaN,71.3096,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,both,"Adult literacy rate, population 15+ years, gender parity index (GPI)",NaN,0.66781,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,both,Learning poverty: gender difference (%),NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,female,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,male,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,female,"Literacy rate, adult female (% of females ages 15 and above)",NaN,53.40721,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,both,"Literacy rate, adult gender difference (%)",NaN,-26.56694,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,male,"Literacy rate, adult male (% of males ages 15 and above)",NaN,79.97415,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,both,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",NaN,0.83176,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,female,"Literacy rate, youth female (% of females ages 15-24)",NaN,70.58513,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,both,"Literacy rate, youth gender difference (%)",NaN,-14.27725,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,male,"Literacy rate, youth male (% of males ages 15-24)",NaN,84.86238,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,female,Mean performance on the mathematics scale. Female,NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,both,Mean performance on the mathematics scale. Gender Difference,NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,male,Mean performance on the mathematics scale. Male,NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,female,Mean performance on the reading scale. Female,NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,both,Mean performance on the reading scale. Gender Difference,NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,male,Mean performance on the reading scale. Male,NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,female,Mean performance on the science scale. Female,NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,both,Mean performance on the science scale. Gender Difference,NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,male,Mean performance on the science scale. Male,NaN,NaN,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,female,"Youth illiterate population, 15-24 years, % female",NaN,66.91524,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,male,"Youth illiterate population, 15-24 years, % male",NaN,33.08476468,NaN,NaN,NaN,NaN
Angola,Sub Saharan Africa,Lower-Middle,female,"Youth illiterate population, 15-24 years, gender difference (%)",NaN,33.83047532,NaN,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,female,"Adult illiterate population, 15+ years, % female",53.5829,54.91855,49.87558,50.61785,NaN,NaN
Argentina,Americas,Upper-Middle,both,"Adult literacy rate, population 15+ years, gender parity index (GPI)",0.99935,0.9987,1.00061,1.00038,NaN,NaN
Argentina,Americas,Upper-Middle,both,Learning poverty: gender difference (%),-9.73817062,NaN,NaN,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,female,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),49.60345459,NaN,NaN,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,male,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),59.34162521,NaN,NaN,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,female,"Literacy rate, adult female (% of females ages 15 and above)",99.09121,98.93282,99.20877,99.1431,NaN,99.06204
Argentina,Americas,Upper-Middle,both,"Literacy rate, adult gender difference (%)",-0.06482,-0.12843,0.06052,0.03811,NaN,0.1243
Argentina,Americas,Upper-Middle,male,"Literacy rate, adult male (% of males ages 15 and above)",99.15603,99.06125,99.14825,99.10499,NaN,98.93774
Argentina,Americas,Upper-Middle,both,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",1.00088,1.00208,1.00161,1.00246,NaN,1.0052
Argentina,Americas,Upper-Middle,female,"Literacy rate, youth female (% of females ages 15-24)",99.59812,99.4024,99.6435,99.62893,NaN,99.75765
Argentina,Americas,Upper-Middle,both,"Literacy rate, youth gender difference (%)",0.08778,0.20653,0.1601,0.24445,NaN,0.51582
Argentina,Americas,Upper-Middle,male,"Literacy rate, youth male (% of males ages 15-24)",99.51034,99.19587,99.4834,99.38448,NaN,99.24183
Argentina,Americas,Upper-Middle,female,Mean performance on the mathematics scale. Female,NaN,NaN,400.4431161,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,both,Mean performance on the mathematics scale. Gender Difference,NaN,NaN,-17.9452448,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,male,Mean performance on the mathematics scale. Male,NaN,NaN,418.3883609,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,female,Mean performance on the reading scale. Female,NaN,NaN,432.9580796,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,both,Mean performance on the reading scale. Gender Difference,NaN,NaN,15.9914724,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,male,Mean performance on the reading scale. Male,NaN,NaN,416.9666072,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,female,Mean performance on the science scale. Female,NaN,NaN,424.9943513,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,both,Mean performance on the science scale. Gender Difference,NaN,NaN,-15.1076784,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,male,Mean performance on the science scale. Male,NaN,NaN,440.1020297,NaN,NaN,NaN
Argentina,Americas,Upper-Middle,female,"Youth illiterate population, 15-24 years, % female",44.34272,41.89405,40.08811,36.88975,NaN,NaN
Argentina,Americas,Upper-Middle,male,"Youth illiterate population, 15-24 years, % male",55.65770171,58.10522831,59.91253644,63.10929281,NaN,NaN
Argentina,Americas,Upper-Middle,female,"Youth illiterate population, 15-24 years, gender difference (%)",-11.31498171,-16.21117831,-19.82442644,-26.21954281,NaN,NaN
Armenia,Post-communist,Upper-Middle,female,"Adult illiterate population, 15+ years, % female",NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,both,"Adult literacy rate, population 15+ years, gender parity index (GPI)",NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,both,Learning poverty: gender difference (%),NaN,NaN,-6.80048561,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,female,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,31.50336266,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,male,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,38.30384827,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,female,"Literacy rate, adult female (% of females ages 15 and above)",NaN,NaN,NaN,NaN,99.67716,NaN
Armenia,Post-communist,Upper-Middle,both,"Literacy rate, adult gender difference (%)",NaN,NaN,NaN,NaN,-0.12834,NaN
Armenia,Post-communist,Upper-Middle,male,"Literacy rate, adult male (% of males ages 15 and above)",NaN,NaN,NaN,NaN,99.8055,NaN
Armenia,Post-communist,Upper-Middle,both,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",NaN,NaN,NaN,NaN,1.00053,NaN
Armenia,Post-communist,Upper-Middle,female,"Literacy rate, youth female (% of females ages 15-24)",NaN,NaN,NaN,NaN,99.87416,NaN
Armenia,Post-communist,Upper-Middle,both,"Literacy rate, youth gender difference (%)",NaN,NaN,NaN,NaN,0.05288,NaN
Armenia,Post-communist,Upper-Middle,male,"Literacy rate, youth male (% of males ages 15-24)",NaN,NaN,NaN,NaN,99.82128,NaN
Armenia,Post-communist,Upper-Middle,female,Mean performance on the mathematics scale. Female,NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,both,Mean performance on the mathematics scale. Gender Difference,NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,male,Mean performance on the mathematics scale. Male,NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,female,Mean performance on the reading scale. Female,NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,both,Mean performance on the reading scale. Gender Difference,NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,male,Mean performance on the reading scale. Male,NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,female,Mean performance on the science scale. Female,NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,both,Mean performance on the science scale. Gender Difference,NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,male,Mean performance on the science scale. Male,NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,female,"Youth illiterate population, 15-24 years, % female",NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,male,"Youth illiterate population, 15-24 years, % male",NaN,NaN,NaN,NaN,NaN,NaN
Armenia,Post-communist,Upper-Middle,female,"Youth illiterate population, 15-24 years, gender difference (%)",NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,female,"Adult illiterate population, 15+ years, % female",NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,both,"Adult literacy rate, population 15+ years, gender parity index (GPI)",NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,both,Learning poverty: gender difference (%),NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,female,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,male,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,female,"Literacy rate, adult female (% of females ages 15 and above)",NaN,NaN,NaN,NaN,NaN,97.81268
Aruba,Americas,High,both,"Literacy rate, adult gender difference (%)",NaN,NaN,NaN,NaN,NaN,0.01255
Aruba,Americas,High,male,"Literacy rate, adult male (% of males ages 15 and above)",NaN,NaN,NaN,NaN,NaN,97.80013
Aruba,Americas,High,both,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",NaN,NaN,NaN,NaN,NaN,0.99789
Aruba,Americas,High,female,"Literacy rate, youth female (% of females ages 15-24)",NaN,NaN,NaN,NaN,NaN,99.39
Aruba,Americas,High,both,"Literacy rate, youth gender difference (%)",NaN,NaN,NaN,NaN,NaN,-0.21
Aruba,Americas,High,male,"Literacy rate, youth male (% of males ages 15-24)",NaN,NaN,NaN,NaN,NaN,99.6
Aruba,Americas,High,female,Mean performance on the mathematics scale. Female,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,both,Mean performance on the mathematics scale. Gender Difference,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,male,Mean performance on the mathematics scale. Male,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,female,Mean performance on the reading scale. Female,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,both,Mean performance on the reading scale. Gender Difference,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,male,Mean performance on the reading scale. Male,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,female,Mean performance on the science scale. Female,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,both,Mean performance on the science scale. Gender Difference,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,male,Mean performance on the science scale. Male,NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,female,"Youth illiterate population, 15-24 years, % female",NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,male,"Youth illiterate population, 15-24 years, % male",NaN,NaN,NaN,NaN,NaN,NaN
Aruba,Americas,High,female,"Youth illiterate population, 15-24 years, gender difference (%)",NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,female,"Adult illiterate population, 15+ years, % female",NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,both,"Adult literacy rate, population 15+ years, gender parity index (GPI)",NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,both,Learning poverty: gender difference (%),NaN,NaN,NaN,-4.118164065,NaN,NaN
Australia,Asia Pacific,High,female,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,NaN,6.482094765,NaN,NaN
Australia,Asia Pacific,High,male,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,NaN,10.60025883,NaN,NaN
Australia,Asia Pacific,High,female,"Literacy rate, adult female (% of females ages 15 and above)",NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,both,"Literacy rate, adult gender difference (%)",NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,male,"Literacy rate, adult male (% of males ages 15 and above)",NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,both,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,female,"Literacy rate, youth female (% of females ages 15-24)",NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,both,"Literacy rate, youth gender difference (%)",NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,male,"Literacy rate, youth male (% of males ages 15-24)",NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,female,Mean performance on the mathematics scale. Female,NaN,NaN,490.9855008,NaN,NaN,NaN
Australia,Asia Pacific,High,both,Mean performance on the mathematics scale. Gender Difference,NaN,NaN,-5.7758441,NaN,NaN,NaN
Australia,Asia Pacific,High,male,Mean performance on the mathematics scale. Male,NaN,NaN,496.7613449,NaN,NaN,NaN
Australia,Asia Pacific,High,female,Mean performance on the reading scale. Female,NaN,NaN,518.8657992,555,NaN,NaN
Australia,Asia Pacific,High,both,Mean performance on the reading scale. Gender Difference,NaN,NaN,31.6802737,21,NaN,NaN
Australia,Asia Pacific,High,male,Mean performance on the reading scale. Male,NaN,NaN,487.1855255,534,NaN,NaN
Australia,Asia Pacific,High,female,Mean performance on the science scale. Female,NaN,NaN,508.9216474,NaN,NaN,NaN
Australia,Asia Pacific,High,both,Mean performance on the science scale. Gender Difference,NaN,NaN,-2.1276098,NaN,NaN,NaN
Australia,Asia Pacific,High,male,Mean performance on the science scale. Male,NaN,NaN,511.0492572,NaN,NaN,NaN
Australia,Asia Pacific,High,female,"Youth illiterate population, 15-24 years, % female",NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,male,"Youth illiterate population, 15-24 years, % male",NaN,NaN,NaN,NaN,NaN,NaN
Australia,Asia Pacific,High,female,"Youth illiterate population, 15-24 years, gender difference (%)",NaN,NaN,NaN,NaN,NaN,NaN
Austria,Europe,High,female,"Adult illiterate population, 15+ years, % female",NaN,NaN,NaN,NaN,NaN,NaN
Austria,Europe,High,both,"Adult literacy rate, population 15+ years, gender parity index (GPI)",NaN,NaN,NaN,NaN,NaN,NaN
Austria,Europe,High,both,Learning poverty: gender difference (%),NaN,NaN,NaN,-0.978249311,NaN,NaN
Austria,Europe,High,female,Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,NaN,1.910018921,NaN,NaN
Austria,Europe,High,male,Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),NaN,NaN,NaN,2.888268232,NaN,NaN
Austria,Europe,High,female,"Literacy rate, adult female (% of females ages 15 and above)",NaN,NaN,NaN,NaN,NaN,NaN
Austria,Europe,High,both,"Literacy rate, adult gender difference (%)",NaN,NaN,NaN,NaN,NaN,NaN
Austria,Europe,High,male,"Literacy rate, adult male (% of males ages 15 and above)",NaN,NaN,NaN,NaN,NaN,NaN
Austria,Europe,High,both,"Literacy rate, youth (ages 15-24), gender parity index (GPI)",NaN,NaN,NaN,NaN,NaN,NaN
Austria,Europe,High,female,"Literacy rate, youth female (% of females ages 15-24)",NaN,NaN,NaN,NaN,NaN,NaN
Austria,Europe,High,both,"Literacy rate, youth gender difference (%)",NaN,NaN,NaN,NaN,NaN,NaN
Austria,Europe,High,male,"Literacy rate, youth male (% of males ages 15-24)",NaN,NaN,NaN,NaN,NaN,NaN
Austria,Europe,High,female,Mean performance on the mathematics scale. Female,NaN,NaN,483.1330261,NaN,NaN,NaN
Austria,Europe,High,both,Mean performance on the mathematics scale. Gender Difference,NaN,NaN,-26.9651898,NaN,NaN,NaN
Austria,Europe,High,male,Mean performance on the mathematics scale. Male,NaN,NaN,510.0982159,NaN,NaN,NaN
