Country,Region,Gross National Income (GNI),fin_inc_male,fin_inc_female,urban_labour_part_male,urban_labour_part_female,rural_labour_part_male,rural_labour_part_female,total_labour_part_male,total_labour_part_female,family_planning_demand_female(15-49),family_planning_demand_female(15-19),gov_exp_health,gov_exp_education,births_by_18
Belarus,Post-communist,Upper-Middle,81,81,NaN,NaN,NaN,NaN,NaN,NaN,74,NaN,3.7,4.8,3
Belgium,Europe,High,98,99,59,49,61,52,59,50,NaN,NaN,8.4,6.6,
Belize,Americas,Upper-Middle,44,52,77,57,81,41,79,49,66,47,4.1,6.7,17
Benin,Sub Saharan Africa,Low,49,29,70,65,78,73,74,70,26,13,0.8,4.4,19
Bhutan,Asia Pacific,Lower-Middle,39,28,75,46,70,60,71,56,85,NaN,2.7,7.4,15
Bolivia,Americas,Lower-Middle,55,54,76,58,91,77,80,64,50,NaN,4.4,7.3,20
Bosnia and Herzegovina,Post-communist,Upper-Middle,63,55,53,37,53,27,53,31,22,NaN,6.6,,
Botswana,Sub Saharan Africa,Upper-Middle,56,47,69,57,71,53,70,56,NaN,NaN,3.3,,
Brazil,Americas,Upper-Middle,73,68,77,56,82,55,78,56,89,NaN,3.8,6.2,
British Virgin Islands,Americas,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,6.3,
Brunei Darussalam,Asia Pacific,High,NaN,NaN,69,58,68,53,69,56,NaN,NaN,2.3,4.4,
Bulgaria,Post-communist,Upper-Middle,71,74,65,54,55,38,62,49,NaN,NaN,4.2,,5
Burkina Faso,Sub Saharan Africa,Low,51,35,69,55,77,59,75,58,56,51,1.7,4.2,28
Burundi,Sub Saharan Africa,Low,8,7,69,55,79,83,78,80,38,55,2.5,6.4,13
Cabo Verde,Sub Saharan Africa,Lower-Middle,NaN,NaN,55,36,66,55,63,49,73,68,3.6,5.3,22
Cambodia,Asia Pacific,Lower-Middle,22,22,85,70,89,78,88,76,57,46,1.3,1.9,7
Cameroon,Sub Saharan Africa,Lower-Middle,39,30,74,58,80,74,78,67,47,39,0.7,2.8,28
Canada,Americas,High,100,100,70,62,67,59,70,61,NaN,NaN,7.6,5.3,
Central African Republic,Sub Saharan Africa,Low,18,10,NaN,NaN,NaN,NaN,NaN,NaN,29,NaN,0.6,1.2,45
Chad,Sub Saharan Africa,Low,29,15,NaN,NaN,NaN,NaN,NaN,NaN,20,9,1.1,2.9,51
Chile,Americas,High,78,71,70,50,72,42,71,49,NaN,NaN,4.9,4.9,
China,Asia Pacific,Upper-Middle,84,76,NaN,NaN,NaN,NaN,NaN,NaN,97,NaN,2.9,,
Colombia,Americas,Upper-Middle,49,42,79,60,86,46,80,57,87,72,3.8,4.5,20
Comoros,Sub Saharan Africa,Lower-Middle,26,18,48,29,52,34,51,33,29,20,1,4.3,17
"Congo, Dem. Rep",Sub Saharan Africa,Low,27,24,61,44,76,75,70,63,19,12,1.6,4.6,26
"Congo, Rep.",Sub Saharan Africa,Lower-Middle,31,21,64,58,77,80,69,67,43,28,,,
Cook Islands,Asia Pacific,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.8,7.1,13
Costa Rica,Americas,Upper-Middle,75,61,73,49,75,39,74,46,89,NaN,1.1,4.8,25
Côte d'Ivoire,Sub Saharan Africa,Lower-Middle,47,36,66,46,77,52,66,46,39,NaN,5.6,4.6,
Croatia,Post-communist,High,90,83,58,48,56,41,57,46,NaN,NaN,11.5,12.8,6
Cuba,Americas,Upper-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,89,73,2.9,6.4,
Cyprus,Europe,High,87,90,69,59,63,51,68,57,NaN,NaN,6,5.8,
Czech Republic,Post-communist,High,84,79,69,53,68,52,69,53,86,NaN,,,
Democratic People's Republic of Korea,Asia Pacific,Low,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,90,NaN,0.7,2.2,27
Denmark,Europe,High,100,100,69,60,64,55,67,58,NaN,NaN,8.6,7.6,
Djibouti,Sub Saharan Africa,Lower-Middle,17,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4,4.5,
Dominica,Americas,Upper-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.6,3.4,
Dominican Republic,Americas,Upper-Middle,58,54,76,51,79,40,76,49,82,67,2.5,,21
Ecuador,Americas,Upper-Middle,60,43,77,52,85,61,79,55,79,NaN,4.2,5,
"Egypt, Arab Rep.",Middle East and North Africa,Lower-Middle,39,27,65,22,68,22,67,22,80,64,1.6,,7
El Salvador,Americas,Lower-Middle,38,24,75,52,82,35,77,46,80,70,4.4,4,18
Equatorial Guinea,Sub Saharan Africa,Upper-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,20,0.6,,42
Eritrea,Sub Saharan Africa,Low,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21,6,0.4,,19
Estonia,Post-communist,High,98,98,74,59,67,55,71,57,NaN,NaN,4.9,5.2,
Eswatini,Sub Saharan Africa,Lower-Middle,30,27,71,63,51,42,56,47,83,NaN,5,7.1,17
Ethiopia,Sub Saharan Africa,Low,41,29,73,61,88,79,85,75,62,NaN,1,4.7,21
Fiji,Asia Pacific,Upper-Middle,NaN,NaN,72,39,82,38,77,39,NaN,NaN,2.3,3.9,
Finland,Europe,High,100,100,65,57,59,53,63,56,NaN,NaN,7.6,7.1,
France,Europe,High,97,91,61,51,59,52,60,52,96,NaN,8.8,5.5,
Gabon,Sub Saharan Africa,Upper-Middle,64,54,NaN,NaN,NaN,NaN,NaN,NaN,44,23,1.6,2.7,28
Gambia,Sub Saharan Africa,Low,NaN,NaN,70,49,67,52,69,50,27,11,0.8,3.1,19
Georgia,Post-communist,Upper-Middle,58,64,68,49,82,71,75,58,53,NaN,2.8,3.8,6
Germany,Europe,High,99,99,67,56,68,57,67,56,NaN,NaN,9.3,4.8,
Ghana,Sub Saharan Africa,Lower-Middle,62,54,64,60,53,50,59,55,46,NaN,2.1,5.9,17
Greece,Europe,High,86,85,61,46,59,41,60,44,NaN,NaN,4.7,,
Grenada,Americas,Upper-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.9,10.3,
Guatemala,Americas,Upper-Middle,46,42,81,47,89,30,85,39,66,50,1.9,3,20
Guinea,Sub Saharan Africa,Low,27,20,55,45,73,70,66,63,22,14,0.4,2.5,37
Guinea-Bissau,Sub Saharan Africa,Low,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56,20,2.2,2.1,28
Guyana,Americas,Upper-Middle,NaN,NaN,71,52,68,40,69,44,52,17,2.3,5.3,16
Haiti,Americas,Low,35,30,67,49,80,59,74,54,43,31,0.9,3.2,14
Holy See,Europe,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
Honduras,Americas,Lower-Middle,50,41,77,52,92,37,84,46,76,67,3,6.4,22
Hungary,Post-communist,High,78,72,65,49,67,49,66,49,NaN,NaN,4.7,4.6,
Iceland,Europe,High,NaN,NaN,85,78,87,79,86,78,NaN,NaN,6.7,7.7,
India,Asia Pacific,Lower-Middle,83,77,76,18,80,26,79,23,67,27,0.9,3.8,9
Indonesia,Asia Pacific,Lower-Middle,46,51,79,50,85,55,82,52,78,72,1.2,3.6,7
"Iran, Islamic Rep.",Middle East and North Africa,Upper-Middle,96,92,63,15,66,16,64,15,69,NaN,4,2.8,5
Iraq,Middle East and North Africa,Upper-Middle,26,20,72,13,74,7,72,11,55,NaN,0.7,,14
Ireland,Europe,High,95,95,70,58,67,53,69,56,NaN,NaN,5.3,3.8,
Israel,Middle East and North Africa,High,92,94,68,59,70,64,68,60,NaN,NaN,4.6,5.9,
Italy,Europe,High,96,92,60,41,59,40,59,41,NaN,NaN,6.7,4.1,
Jamaica,Americas,Upper-Middle,79,78,71,62,76,59,73,61,79,NaN,3.6,5.5,15
Japan,Asia Pacific,High,98,98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.1,3.5,
Jordan,Middle East and North Africa,Upper-Middle,56,27,NaN,NaN,NaN,NaN,NaN,NaN,57,31,3.6,3.6,5
Kazakhstan,Post-communist,Upper-Middle,57,60,NaN,NaN,NaN,NaN,NaN,NaN,79,NaN,1.9,2.8,2
Kenya,Sub Saharan Africa,Lower-Middle,86,78,80,68,76,74,78,71,76,68,1.7,5.3,23
Kiribati,Asia Pacific,Lower-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,36,0,6.9,,9
Kuwait,Middle East and North Africa,High,83,73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.4,,
Kyrgyzstan,Post-communist,Lower-Middle,41,39,75,43,75,50,75,46,66,41,2.7,6,4
Lao People's Democratic Republic,Asia Pacific,Lower-Middle,26,32,59,49,39,30,45,37,72,48,0.9,2.9,18
Latvia,Post-communist,High,94,93,70,58,65,52,68,56,NaN,NaN,3.3,5.3,
Lebanon,Middle East and North Africa,Upper-Middle,57,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.9,2.5,
Lesotho,Sub Saharan Africa,Lower-Middle,45,46,NaN,NaN,NaN,NaN,NaN,NaN,79,55,5.4,,14
Liberia,Sub Saharan Africa,Low,44,28,75,63,91,84,82,72,41,22,1.1,4.1,37
Libya,Middle East and North Africa,Upper-Middle,71,60,NaN,NaN,NaN,NaN,NaN,NaN,24,NaN,,âˆ’,
Liechtenstein,Europe,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,2.6,
Lithuania,Post-communist,High,85,81,70,60,64,50,68,57,NaN,NaN,4.3,4.2,
Luxembourg,Europe,High,99,98,66,57,61,54,64,56,NaN,NaN,5.1,3.9,
Madagascar,Sub Saharan Africa,Low,20,16,80,72,92,87,89,84,61,NaN,2.4,,36
Malawi,Sub Saharan Africa,Low,38,30,75,65,56,47,60,50,74,62,2.7,5.6,31
Malaysia,Asia Pacific,Upper-Middle,88,82,79,56,83,49,80,54,NaN,NaN,2.1,5,
Maldives,Asia Pacific,Upper-Middle,NaN,NaN,80,48,77,46,78,47,43,18,6.4,4.5,1
Mali,Sub Saharan Africa,Low,45,26,75,46,84,59,81,55,35,21,1,3.8,33
Malta,Europe,High,98,97,70,49,70,54,70,49,NaN,NaN,5.7,5.3,
Marshall Islands,Asia Pacific,Upper-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,81,40,11.6,,21
Mauritania,Sub Saharan Africa,Lower-Middle,26,15,63,26,63,29,63,28,30,NaN,1.8,2.6,22
Mauritius,Sub Saharan Africa,Upper-Middle,93,87,NaN,NaN,NaN,NaN,NaN,NaN,41,NaN,2.4,4.9,
Mexico,Americas,Upper-Middle,41,33,76,47,81,31,77,43,80,64,3,5.2,21
Micronesia,Asia Pacific,Lower-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.2,12.5,
Monaco,Europe,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6,,
Mongolia,Asia Pacific,Lower-Middle,91,95,60,48,76,67,66,54,65,42,2,4.2,3
Montenegro,Post-communist,Upper-Middle,69,68,NaN,NaN,NaN,NaN,NaN,NaN,43,NaN,,,3
Montserrat,Americas,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
Morocco,Middle East and North Africa,Lower-Middle,41,17,70,18,80,36,74,25,69,NaN,2.4,,8
Mozambique,Sub Saharan Africa,Low,51,33,73,62,84,87,80,78,56,34,0.4,6.5,40
Myanmar,Asia Pacific,Lower-Middle,26,26,72,46,79,49,77,48,75,73,1.1,2.2,5
Namibia,Sub Saharan Africa,Upper-Middle,81,81,70,61,54,49,63,55,80,47,5.3,3.1,15
Nauru,Asia Pacific,Upper-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43,NaN,5.3,,22
Nepal,Asia Pacific,Low,50,42,60,32,48,21,54,26,56,25,1,3.7,16
Netherlands,Europe,High,99,100,70,59,69,58,70,59,NaN,NaN,8.4,5.4,
New Zealand,Asia Pacific,High,99,99,76,65,81,70,76,65,NaN,NaN,7.4,6.3,
Nicaragua,Americas,Lower-Middle,37,25,78,56,90,35,83,48,93,87,4.5,4.1,28
Niger,Sub Saharan Africa,Low,20,11,70,40,90,68,86,63,46,28,1.5,6,48
Nigeria,Sub Saharan Africa,Lower-Middle,51,27,54,49,58,48,56,49,43,15,0.6,,31
Niue,Asia Pacific,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,
North Macedonia,Post-communist,Upper-Middle,80,73,66,42,72,45,67,43,22,NaN,4.1,,2
Norway,Europe,High,99,100,68,64,65,59,66,62,NaN,NaN,8.6,7.6,
Oman,Middle East and North Africa,High,84,64,89,33,81,21,88,30,40,NaN,3.8,6.7,2
Pakistan,Asia Pacific,Lower-Middle,35,7,78,12,82,28,80,22,49,23,0.7,2.7,7
Palau,Asia Pacific,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5,,
Panama,Americas,High,51,42,74,52,80,45,76,50,73,37,4.2,3.2,
Papua New Guinea,Asia Pacific,Lower-Middle,NaN,NaN,57,52,48,47,49,48,41,NaN,1.7,,14
Paraguay,Americas,Upper-Middle,51,46,83,62,87,55,84,59,79,83,4.2,4.5,
Peru,Americas,Upper-Middle,51,34,80,64,92,86,83,69,67,65,3.2,4,16
Philippines,Asia Pacific,Lower-Middle,30,39,71,48,74,43,72,45,53,47,1.4,,11
Poland,Post-communist,High,85,88,65,50,65,46,65,48,NaN,NaN,4.4,4.8,
Portugal,Europe,High,94,91,65,56,63,50,64,54,NaN,NaN,5.9,4.9,
Qatar,Middle East and North Africa,High,69,62,96,59,NaN,NaN,96,59,69,NaN,2.6,2.9,
Republic of Moldova,Post-communist,Lower-Middle,43,45,47,39,45,42,46,41,60,NaN,4.2,5.3,
Romania,Post-communist,Upper-Middle,62,54,65,47,65,43,65,46,47,NaN,4.6,,4
Russian Federation,Post-communist,Upper-Middle,75,76,73,58,67,50,71,56,72,NaN,3.9,3.1,
Rwanda,Sub Saharan Africa,Low,56,45,70,57,58,41,61,44,63,84,3.1,3.8,
Saint Kitts and Nevis,Americas,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2,3.8,6
Saint Lucia,Americas,Upper-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN,2.1,2.8,
Saint Vincent and the Grenadines,Americas,Upper-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2,4.4,
Samoa,Asia Pacific,Upper-Middle,NaN,NaN,60,42,54,29,55,31,39,11,2.6,5.8,
San Marino,Europe,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.5,4.1,6
Sao Tome and Principe,Sub Saharan Africa,Lower-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52,38,5.5,2.4,
Saudi Arabia,Middle East and North Africa,High,81,58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7,3.9,27
Senegal,Sub Saharan Africa,Lower-Middle,47,38,55,36,62,33,58,35,51,25,4.1,,
Serbia,Post-communist,Upper-Middle,73,70,61,47,66,46,63,47,39,NaN,1.7,7.1,16
Seychelles,Sub Saharan Africa,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.4,4,1
Sierra Leone,Sub Saharan Africa,Low,25,15,62,62,49,46,58,56,45,32,3.2,4.4,
Singapore,Asia Pacific,High,100,96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.6,4.6,30
Slovakia,Post-communist,High,85,83,68,54,67,50,68,52,NaN,NaN,2.2,2.9,
Slovenia,Post-communist,High,98,97,64,54,64,54,64,54,NaN,NaN,5.4,4.6,
Solomon Islands,Asia Pacific,Lower-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38,13,6.1,4.9,
Somalia,Sub Saharan Africa,Low,44,34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.5,9.9,15
South Africa,Sub Saharan Africa,Upper-Middle,68,70,69,55,48,35,62,48,78,NaN,,,
South Korea,Asia Pacific,High,95,95,73,53,76,56,74,53,NaN,NaN,4.4,6,15
South Sudan,Sub Saharan Africa,Low,13,5,NaN,NaN,NaN,NaN,NaN,NaN,6,NaN,,1.4,28
Spain,Europe,High,96,92,65,53,59,46,64,52,NaN,NaN,6.5,4.3,
Sri Lanka,Asia Pacific,Upper-Middle,74,73,73,30,76,37,75,36,74,58,1.7,2.2,4
State of Palestine,Middle East and North Africa,Lower-Middle,34,16,NaN,NaN,NaN,NaN,NaN,NaN,65,35,,5.1,22
Sudan,Sub Saharan Africa,Lower-Middle,20,10,66,25,73,30,70,28,30,19,2.1,,22
Suriname,Americas,Upper-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,73,NaN,4,,
Sweden,Europe,High,99,100,76,72,73,69,76,71,NaN,NaN,9.2,7.6,
Switzerland,Europe,High,98,99,74,62,75,67,74,63,NaN,NaN,7.5,5.1,
Syria,Middle East and North Africa,Low,27,20,NaN,NaN,NaN,NaN,NaN,NaN,53,31,,,9
Tajikistan,Post-communist,Low,52,42,54,28,57,29,56,29,45,18,1.9,5.2,1
Tanzania,Sub Saharan Africa,Low,52,42,83,72,91,86,88,80,54,35,2.8,4.1,9
Thailand,Asia Pacific,Upper-Middle,84,80,76,61,77,59,77,60,89,83,2.3,2.7,7
Timor-Leste,Asia Pacific,Lower-Middle,NaN,NaN,65,50,75,65,73,61,37,22,1.3,5.2,8
Togo,Sub Saharan Africa,Low,53,38,45,53,53,69,49,61,37,15,,,
Tokelau,Asia Pacific,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7,,2
Tonga,Asia Pacific,Upper-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48,NaN,3.2,,
Trinidad and Tobago,Americas,High,88,74,NaN,NaN,NaN,NaN,NaN,NaN,58,61,4,6.6,1
Tunisia,Middle East and North Africa,Lower-Middle,46,28,69,29,73,18,70,26,73,NaN,3.2,4.3,6
Turkey,Middle East and North Africa,Upper-Middle,83,54,NaN,NaN,NaN,NaN,NaN,NaN,60,30,1.5,3,1
Turkmenistan,Post-communist,Upper-Middle,46,36,NaN,NaN,NaN,NaN,NaN,NaN,76,11,,3.3,
Turks and Caicos Islands,Americas,High,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2,,3
Tuvalu,Asia Pacific,Upper-Middle,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41,NaN,1,2.8,28
Uganda,Sub Saharan Africa,Low,66,53,77,60,57,39,62,45,54,NaN,2.9,5,4
Ukraine,Post-communist,Lower-Middle,65,61,70,58,67,54,69,57,68,NaN,2.6,,
United Arab Emirates,Middle East and North Africa,High,93,76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.9,5.6,
United Kingdom,Europe,High,97,96,69,58,64,55,68,58,NaN,NaN,1.3,3.5,22
United States of America,Americas,High,94,93,70,58,64,53,69,57,77,NaN,13.8,5,
Uruguay,Americas,High,68,61,72,56,77,51,72,56,NaN,NaN,6.2,4.4,
Uzbekistan,Post-communist,Lower-Middle,38,36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,3,7.1,2
Vanuatu,Asia Pacific,Lower-Middle,NaN,NaN,68,51,82,63,78,60,51,NaN,2,5.5,13
Venezuela,Americas,Upper-Middle,77,70,69,46,76,32,69,45,NaN,NaN,2,,24
Vietnam,Asia Pacific,Lower-Middle,31,30,74,63,85,77,81,72,70,60,2.4,5.7,5
Yemen,Middle East and North Africa,Low,11,2,66,8,65,5,65,6,38,22,0.6,,17
Zambia,Sub Saharan Africa,Lower-Middle,52,40,59,36,34,20,45,28,62,57,2.1,,31
Zimbabwe,Sub Saharan Africa,Lower-Middle,59,52,70,87,90,95,82,92,85,77,4,7.5,22
