Country,Region,Gross National Income (GNI),Sex,Indicator,2013,2014,2015,2016,2017,2018
Azerbaijan,Post-communist,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Azerbaijan,Post-communist,Upper-Middle,female,Share of female judges,12,12,NaN,NaN,NaN,NaN
Azerbaijan,Post-communist,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Bahrain,Middle East and North Africa,High,female,Political Empowerment Score,0.0667,NaN,NaN,NaN,NaN,NaN
Bahrain,Middle East and North Africa,High,female,Proportion of seats held by women in national parliaments (%),10,7.5,7.5,7.5,7.5,7.5
Bahrain,Middle East and North Africa,High,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Bahrain,Middle East and North Africa,High,female,Proportion of women in ministerial level positions (%),NaN,14.8,4.5,4.5,NaN,4.3
Bahrain,Middle East and North Africa,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Bahrain,Middle East and North Africa,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Bahrain,Middle East and North Africa,High,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Bangladesh,Asia Pacific,Lower-Middle,female,Political Empowerment Score,0.4036,NaN,NaN,NaN,NaN,NaN
Bangladesh,Asia Pacific,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),19.7,19.8,20,20,20.3,20.3
Bangladesh,Asia Pacific,Lower-Middle,female,Proportion of women in managerial positions,13.2,NaN,NaN,11.4,10.7,NaN
Bangladesh,Asia Pacific,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,6.7,6.7,6.3,NaN,8
Bangladesh,Asia Pacific,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,11.5,NaN
Bangladesh,Asia Pacific,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Bangladesh,Asia Pacific,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Barbados,Americas,High,female,Political Empowerment Score,0.1503,NaN,NaN,NaN,NaN,NaN
Barbados,Americas,High,female,Proportion of seats held by women in national parliaments (%),16.7,16.7,16.7,16.7,16.7,20
Barbados,Americas,High,female,Proportion of women in managerial positions,48.3,48.6,50.5,48.6,NaN,NaN
Barbados,Americas,High,female,Proportion of women in ministerial level positions (%),NaN,11.8,11.8,11.8,NaN,23.8
Barbados,Americas,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Barbados,Americas,High,female,Share of female judges,54,54,NaN,NaN,NaN,NaN
Barbados,Americas,High,female,Share of female police officers,16,16,NaN,NaN,NaN,NaN
Belarus,Post-communist,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),26.6,26.6,27.3,34.5,34.5,34.5
Belarus,Post-communist,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,46,47.6,NaN
Belarus,Post-communist,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,3.4,10.7,3.6,NaN,3.4
Belarus,Post-communist,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Belarus,Post-communist,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Belarus,Post-communist,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Belarus,Post-communist,Upper-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Belgium,Europe,High,female,Political Empowerment Score,0.3664,NaN,NaN,NaN,NaN,NaN
Belgium,Europe,High,female,Proportion of seats held by women in national parliaments (%),38,39.3,39.3,39.3,38,38
Belgium,Europe,High,female,Proportion of women in managerial positions,31.4,31.7,32.6,32.7,33.6,NaN
Belgium,Europe,High,female,Proportion of women in ministerial level positions (%),NaN,41.7,23.1,23.1,NaN,NaN
Belgium,Europe,High,female,Proportion of women in senior and middle management positions,30.8,31.3,31,32,32.9,NaN
Belgium,Europe,High,female,Share of female judges,49,51,52,NaN,NaN,NaN
Belgium,Europe,High,female,Share of female police officers,20,21,22,NaN,NaN,NaN
Belize,Americas,Upper-Middle,female,Political Empowerment Score,0.0099,NaN,NaN,NaN,NaN,NaN
Belize,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),3.1,3.1,3.1,3.1,9.4,9.4
Belize,Americas,Upper-Middle,female,Proportion of women in managerial positions,NaN,39.3,46.4,NaN,51.1,NaN
Belize,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,13.3,13.3,0,NaN,NaN
Belize,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,39.1,NaN,NaN,NaN
Belize,Americas,Upper-Middle,female,Share of female judges,NaN,40,NaN,NaN,NaN,NaN
Belize,Americas,Upper-Middle,female,Share of female police officers,18,15,NaN,NaN,NaN,NaN
Benin,Sub Saharan Africa,Low,female,Political Empowerment Score,0.1383,NaN,NaN,NaN,NaN,NaN
Benin,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),8.4,8.4,7.2,7.2,7.2,7.2
Benin,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,22.2,14.8,14.3,NaN,NaN
Benin,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Benin,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Benin,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Benin,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Bhutan,Asia Pacific,Lower-Middle,female,Political Empowerment Score,0.0509,NaN,NaN,NaN,NaN,NaN
Bhutan,Asia Pacific,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),6.4,8.5,8.5,8.5,8.5,8.5
Bhutan,Asia Pacific,Lower-Middle,female,Proportion of women in managerial positions,17,16.5,18.5,NaN,NaN,NaN
Bhutan,Asia Pacific,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,10,10,10,NaN,NaN
Bhutan,Asia Pacific,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Bhutan,Asia Pacific,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Bhutan,Asia Pacific,Lower-Middle,female,Share of female police officers,8,NaN,NaN,NaN,NaN,NaN
Bolivia,Americas,Lower-Middle,female,Political Empowerment Score,0.3175,NaN,NaN,NaN,NaN,NaN
Bolivia,Americas,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),25.4,53.1,53.1,53.1,53.1,53.1
Bolivia,Americas,Lower-Middle,female,Proportion of women in managerial positions,34,39.4,37.2,35.7,35.3,NaN
Bolivia,Americas,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,33.3,28.6,27.3,NaN,NaN
Bolivia,Americas,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,30,26.8,NaN
Bolivia,Americas,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Bolivia,Americas,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Bosnia and Herzegovina,Post-communist,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),21.4,21.4,21.4,21.4,21.4,21.4
Bosnia and Herzegovina,Post-communist,Upper-Middle,female,Proportion of women in managerial positions,NaN,24.2,22,NaN,NaN,NaN
Bosnia and Herzegovina,Post-communist,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,0,0,22.2,NaN,NaN
Bosnia and Herzegovina,Post-communist,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,24.2,NaN,NaN,NaN,NaN
Bosnia and Herzegovina,Post-communist,Upper-Middle,female,Share of female judges,65,62,64,NaN,NaN,NaN
Bosnia and Herzegovina,Post-communist,Upper-Middle,female,Share of female police officers,7,7,7,NaN,NaN,NaN
Bosnia and Herzegovina,Post-communist,Upper-Middle,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Botswana,Sub Saharan Africa,Upper-Middle,female,Political Empowerment Score,0.0353,NaN,NaN,NaN,NaN,NaN
Botswana,Sub Saharan Africa,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),7.9,9.5,9.5,9.5,9.5,9.5
Botswana,Sub Saharan Africa,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Botswana,Sub Saharan Africa,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,12.5,12.5,15.8,NaN,NaN
Botswana,Sub Saharan Africa,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Botswana,Sub Saharan Africa,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Botswana,Sub Saharan Africa,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Brazil,Americas,Upper-Middle,female,Political Empowerment Score,0.144,NaN,NaN,NaN,NaN,NaN
Brazil,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),8.6,9.9,9.9,9.9,10.7,10.7
Brazil,Americas,Upper-Middle,female,Proportion of women in managerial positions,38,38.7,39.4,39.7,39.9,NaN
Brazil,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,25.6,15.4,4,NaN,NaN
Brazil,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,37,37.4,38,38.2,38.4,NaN
Brazil,Americas,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Brazil,Americas,Upper-Middle,female,Share of female police officers,15,NaN,NaN,NaN,NaN,NaN
Brunei Darussalam,Asia Pacific,High,female,Political Empowerment Score,0,NaN,NaN,NaN,NaN,NaN
Brunei Darussalam,Asia Pacific,High,female,Proportion of seats held by women in national parliaments (%),NaN,NaN,NaN,6.5,9.1,9.1
Brunei Darussalam,Asia Pacific,High,female,Proportion of women in managerial positions,NaN,33.6,NaN,NaN,NaN,NaN
Brunei Darussalam,Asia Pacific,High,female,Proportion of women in ministerial level positions (%),NaN,0,0,0,NaN,NaN
Brunei Darussalam,Asia Pacific,High,female,Proportion of women in senior and middle management positions,NaN,32.5,NaN,NaN,NaN,NaN
Brunei Darussalam,Asia Pacific,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Brunei Darussalam,Asia Pacific,High,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Bulgaria,Post-communist,Upper-Middle,female,Political Empowerment Score,0.1606,NaN,NaN,NaN,NaN,NaN
Bulgaria,Post-communist,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),24.6,20,20.4,20.4,23.8,23.8
Bulgaria,Post-communist,Upper-Middle,female,Proportion of women in managerial positions,36.5,36.7,36.5,37.9,39.2,NaN
Bulgaria,Post-communist,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,41.2,35,52.9,NaN,NaN
Bulgaria,Post-communist,Upper-Middle,female,Proportion of women in senior and middle management positions,36,35.4,37.4,39.3,39.3,NaN
Bulgaria,Post-communist,Upper-Middle,female,Share of female judges,NaN,NaN,67,NaN,NaN,NaN
Bulgaria,Post-communist,Upper-Middle,female,Share of female police officers,NaN,NaN,21,NaN,NaN,NaN
Burkina Faso,Sub Saharan Africa,Low,female,Political Empowerment Score,0.0914,NaN,NaN,NaN,NaN,NaN
Burkina Faso,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),15.7,18.9,9.4,9.4,11,11
Burkina Faso,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Burkina Faso,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,13.8,12.5,13,NaN,NaN
Burkina Faso,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Burkina Faso,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Burkina Faso,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Burundi,Sub Saharan Africa,Low,female,Political Empowerment Score,0.2702,NaN,NaN,NaN,NaN,NaN
Burundi,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),30.5,30.5,36.4,36.4,36.4,36.4
Burundi,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,27.4,NaN,NaN,32.4,NaN
Burundi,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,36.4,34.8,22.7,NaN,NaN
Burundi,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Burundi,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Burundi,Sub Saharan Africa,Low,female,Share of female police officers,3,5,NaN,NaN,NaN,NaN
Cabo Verde,Sub Saharan Africa,Lower-Middle,female,Political Empowerment Score,0.3011,NaN,NaN,NaN,NaN,NaN
Cabo Verde,Sub Saharan Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),20.8,20.8,20.8,23.6,23.6,23.6
Cabo Verde,Sub Saharan Africa,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,42.3,NaN,43.8,NaN
Cabo Verde,Sub Saharan Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,47.1,52.9,25,NaN,NaN
Cabo Verde,Sub Saharan Africa,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Cabo Verde,Sub Saharan Africa,Lower-Middle,female,Share of female judges,35,35,36,NaN,NaN,NaN
Cabo Verde,Sub Saharan Africa,Lower-Middle,female,Share of female police officers,10,NaN,NaN,NaN,NaN,NaN
Cambodia,Asia Pacific,Lower-Middle,female,Political Empowerment Score,0.0916,NaN,NaN,NaN,NaN,NaN
Cambodia,Asia Pacific,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),20.3,20.3,20.3,20.3,20.3,20
Cambodia,Asia Pacific,Lower-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Cambodia,Asia Pacific,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,4.7,7,9.1,NaN,NaN
Cambodia,Asia Pacific,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Cambodia,Asia Pacific,Lower-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Cambodia,Asia Pacific,Lower-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Cameroon,Sub Saharan Africa,Lower-Middle,female,Political Empowerment Score,0.0902,NaN,NaN,NaN,NaN,NaN
Cameroon,Sub Saharan Africa,Lower-Middle,female,Proportion of seats held by women in national parliaments (%),31.1,31.1,31.1,31.1,31.1,31.1
Cameroon,Sub Saharan Africa,Lower-Middle,female,Proportion of women in managerial positions,NaN,49.3,NaN,NaN,NaN,NaN
Cameroon,Sub Saharan Africa,Lower-Middle,female,Proportion of women in ministerial level positions (%),NaN,14.9,14,17.1,NaN,NaN
Cameroon,Sub Saharan Africa,Lower-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Cameroon,Sub Saharan Africa,Lower-Middle,female,Share of female judges,23,NaN,NaN,NaN,NaN,NaN
Cameroon,Sub Saharan Africa,Lower-Middle,female,Share of female police officers,7,NaN,NaN,NaN,NaN,NaN
Canada,Americas,High,female,Political Empowerment Score,0.1959,NaN,NaN,NaN,NaN,NaN
Canada,Americas,High,female,Proportion of seats held by women in national parliaments (%),24.7,25.1,26,26,26.3,27
Canada,Americas,High,female,Proportion of women in managerial positions,35.8,35.5,NaN,NaN,NaN,NaN
Canada,Americas,High,female,Proportion of women in ministerial level positions (%),NaN,32,30.8,51.7,NaN,NaN
Canada,Americas,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Canada,Americas,High,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Canada,Americas,High,female,Share of female police officers,20,21,21,NaN,NaN,NaN
Central African Republic,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),NaN,NaN,NaN,7.2,8.6,8.6
Central African Republic,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,NaN,24.1,17.4,NaN,NaN
Central African Republic,Sub Saharan Africa,Low,both,Political Empowerment Score,NaN,NaN,NaN,NaN,NaN,NaN
Central African Republic,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Central African Republic,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Central African Republic,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Central African Republic,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Chad,Sub Saharan Africa,Low,female,Political Empowerment Score,0.0883,NaN,NaN,NaN,NaN,NaN
Chad,Sub Saharan Africa,Low,female,Proportion of seats held by women in national parliaments (%),14.9,14.9,14.9,14.9,12.8,15.3
Chad,Sub Saharan Africa,Low,female,Proportion of women in ministerial level positions (%),NaN,15.2,13.6,14.3,NaN,NaN
Chad,Sub Saharan Africa,Low,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Chad,Sub Saharan Africa,Low,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Chad,Sub Saharan Africa,Low,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Chad,Sub Saharan Africa,Low,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Chile,Americas,High,female,Political Empowerment Score,0.1448,NaN,NaN,NaN,NaN,NaN
Chile,Americas,High,female,Proportion of seats held by women in national parliaments (%),14.2,15.8,15.8,15.8,15.8,22.6
Chile,Americas,High,female,Proportion of women in managerial positions,25,26.9,27.4,27.4,26.5,NaN
Chile,Americas,High,female,Proportion of women in ministerial level positions (%),NaN,39.1,34.8,34.8,NaN,NaN
Chile,Americas,High,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Chile,Americas,High,female,Share of female judges,59,59,59,NaN,NaN,NaN
Chile,Americas,High,female,Share of female police officers,14,14,15,NaN,NaN,NaN
China,Asia Pacific,Upper-Middle,female,Political Empowerment Score,0.1604,NaN,NaN,NaN,NaN,NaN
China,Asia Pacific,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),23.4,23.4,23.6,23.6,24.2,24.9
China,Asia Pacific,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,8.3,11.5,10,NaN,NaN
China,Asia Pacific,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
China,Asia Pacific,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
China,Asia Pacific,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
China,Asia Pacific,Upper-Middle,female,Share of female police officers,NaN,NaN,NaN,NaN,NaN,NaN
Colombia,Americas,Upper-Middle,female,Political Empowerment Score,0.1662,NaN,NaN,NaN,NaN,NaN
Colombia,Americas,Upper-Middle,female,Proportion of seats held by women in national parliaments (%),12.1,19.9,19.9,19.9,18.7,18.1
Colombia,Americas,Upper-Middle,female,Proportion of women in managerial positions,NaN,NaN,NaN,NaN,NaN,NaN
Colombia,Americas,Upper-Middle,female,Proportion of women in ministerial level positions (%),NaN,31.3,29.4,35.3,NaN,NaN
Colombia,Americas,Upper-Middle,female,Proportion of women in senior and middle management positions,NaN,NaN,NaN,NaN,NaN,NaN
Colombia,Americas,Upper-Middle,female,Share of female judges,NaN,NaN,NaN,NaN,NaN,NaN
Colombia,Americas,Upper-Middle,female,Share of female police officers,6,8,NaN,NaN,NaN,NaN
